Time_s,RL_SpeedOverride,Reward,TrackingError_mm,EE_Velocity_mms,TorqueMag_Nm
3.57,0.999575138092041,0.0430374805621837,0.000122834306992559,0.786526517099636,175.282606743678
3.6,0.999578058719635,0.0580241799028242,0.0609271895779955,2.02681184236676,175.282606743678
3.63,0.99958074092865,0.0587778463970052,0.173042474192997,3.73717615383337,175.282606743678
3.66,0.999583065509796,0.0593645672533223,0.347707191913997,5.82215725736669,175.282606743678
3.69,0.999585211277008,0.059768952581122,0.593469548307993,8.19207854646654,175.282606743678
3.72,0.999553263187408,0.0756187982473996,0.323361018366995,10.7630490019668,154.152166653912
3.75,0.999555051326752,0.0756393220262649,0.72706991413699,13.4569631923332,154.152166653912
3.78,0.999556660652161,0.075448383189949,1.213114952342,16.2015012735002,154.152166653912
3.81,0.999558091163635,0.0747559515116855,1.781018822012,18.9301289890002,154.152166653912
3.84,0.999559283256531,0.0730209179723708,2.42848175210699,21.582097669833,154.152166653912
3.87,0.999402701854706,0.0810965256161935,0.000444920858001296,24.1024442345003,72.6812210713693
3.9,0.999403774738312,0.0792568061154603,0.792814814814989,26.4419911890997,72.6812210713693
3.93,0.999404489994049,0.0773093728604,1.64953521362899,28.5573466271335,72.6812210713693
3.96,0.999405026435852,0.0753164765304335,2.561862340524,30.4109042298336,72.6812210713693
3.99,0.999405384063721,0.0732939925313882,3.52098763849399,31.9708432656663,72.6812210713693
4.02,0.999405264854431,0.0584436955094231,4.517321496221,33.2111285909003,72.6370948769574
4.05,0.999405145645142,0.0564147119724076,5.54066681569499,34.111510649133,72.6370948769574
4.08,0.999404728412628,0.0544106513552453,6.58039257984399,34.6575254716332,72.6370948769574
4.11,0.999404191970825,0.0524512732242807,7.62560742015599,34.8404946770666,72.6370948769574
4.14,0.999405801296234,0.0505566360803721,8.665333184305,34.6575254716337,72.6370948769574
4.17,0.999432384967804,0.0636059824063051,0.000321496221005191,34.1115106491335,89.6578161401203
4.2,0.999435722827911,0.0619073020637715,0.99601236150599,33.2111285908998,89.6578161401203
4.23,0.99943870306015,0.0603218503512783,1.95513765947598,31.9708432656663,89.6578161401203
4.26,0.99944132566452,0.0588748733390338,2.86746478637099,30.4109042298336,89.6578161401203
4.29,0.999443709850311,0.0575821927901757,3.72418518518498,28.557346627133,89.6578161401203
4.32,0.999503612518311,0.0751842633338749,0.000444920858001296,26.4419911891006,122.680417097544
4.35,0.999505043029785,0.0742578691543293,0.723518247892997,24.1024442344999,122.680417097544
4.38,0.999505996704102,0.0735042673014762,1.370981177988,21.5820976698334,122.680417097544
4.41,0.999506533145905,0.0729479488838235,1.938885047658,18.9301289890002,122.680417097544
4.44,0.999506771564484,0.0725930625906729,2.424930085863,16.2015012734997,122.680417097544
4.47,0.999581694602966,0.0741655398313362,2.82863898163299,13.4569631923332,167.811281604013
4.5,0.999581158161163,0.073280579327976,3.151530451692,10.7630490019668,167.811281604013
4.53,0.999580204486847,0.0721571844991499,3.39729280808598,8.19207854646606,167.811281604013
4.56,0.999578773975372,0.0711068090123272,3.57195752580699,5.82215725736717,167.811281604013
4.59,0.999577045440674,0.0701142239079046,3.68407281042198,3.7371761538329,167.811281604013
4.62,0.999506950378418,0.0777172162691716,0.0608771656930003,2.02681184236724,129.619087619044
4.65,0.999504089355469,0.0767945001330977,0.0844729612059893,0.786526517099636,129.619087619044
4.68,0.999500930309296,0.0758329581153129,0.0879999999999939,0.11756795980015,129.619087619044
4.71,0.999504268169403,0.061613429373736,0.102279088075567,1.5261618633487,129.619087619044
4.74,0.999544441699982,0.012151149705317,0.369433333963883,10.2099821847353,129.619087619044
4.77,0.999646246433258,0.00436500054494388,7.28106389678802e-05,26.3102544563459,174.638160085146
4.8,0.999674141407013,0.0141677314178013,1.45537469221325,48.5126707376006,174.638160085146
4.83,0.999697685241699,0.0217819387081748,3.72271548307496,75.578026398827,174.638160085146
4.86,0.99971741437912,0.0270293170082332,6.91298208638709,106.342220121297,174.638160085146
4.89,0.999733984470367,0.0297693948674287,11.1044697031563,139.716253897105,174.638160085146
4.92,0.999589800834656,0.0354216423893192,16.3450566939589,174.686233029291,41.8099252432963
4.95,0.999608993530273,0.0329793370588585,22.6544576778669,210.313366131763,41.8099252432963
4.98,0.999625086784363,0.0239903002866748,30.0264766317166,245.733965129274,41.8099252432963
5.01,0.999638617038727,0.00146690729586155,38.4312599894231,280.159445257523,41.8099252432963
5.04,0.999649882316589,-0.0221124366653102,47.8175497413021,312.876325063082,41.8099252432963
5.07,0.999758958816528,-0.0450760067507961,58.114936533394,343.246226403391,136.332180606899
5.1,0.999764442443848,-0.0703272947486261,69.23611276679,370.705874446774,136.332180606899
5.13,0.999768853187561,-0.0961984287957943,81.0791256969596,394.767097672507,136.332180606899
5.16,0.999772310256958,-0.122453268909816,93.5296305330754,415.016827870671,136.332180606899
5.19,0.999774992465973,-0.148868183951886,106.463143537339,431.117100142249,136.332180606899
5.22,0.999785721302032,-0.14773742804275,119.747295124312,442.80505289917,147.478477393954
5.25,0.999778807163239,-0.173750490887207,133.244082960237,449.892927864248,147.478477393954
5.28,0.999771237373352,-0.199185295656058,146.812125062367,452.268070071058,147.478477393954
5.31,0.99977433681488,-0.223779594801176,160.308912898293,449.892927864248,147.478477393954
5.34,0.999787867069244,-0.247285520311215,173.593064485267,442.80505289917,147.478477393954
5.37,0.999736547470093,-0.0453304621174515,53.2826628088404,431.117100142247,157.909668531676
5.4,0.999750375747681,-0.0659089778567614,65.7331676447029,415.016827870673,157.909668531676
5.43,0.999762415885925,-0.0846997938625038,77.5761805747098,394.767097672507,157.909668531676
5.46,0.999772369861603,-0.10148681519183,88.6973568079958,370.705874446774,157.909668531676
5.49,0.999780416488647,-0.116087005628447,98.9947436000125,343.246226403389,157.909668531676
5.52,0.999740958213806,-0.0028319171335791,42.6476815431898,312.876325063082,147.363338194867
5.55,0.999745905399323,-0.0126082342536439,51.0524649008708,280.159445257527,147.363338194867
5.58,0.999748468399048,-0.0198320910171004,58.4244838547203,245.733965129273,147.363338194867
5.61,0.999748468399048,-0.0244402269323358,64.7338848386539,210.313366131763,147.363338194867
5.64,0.999745905399323,-0.0264231042622503,69.9744718295192,174.686233029293,147.363338194867
5.67,0.999646544456482,0.0552040758756462,23.1132387550334,139.716253897103,95.7601448467352
